correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
-1.0,10,0,21004,2,98,98.0,0.03333333333333333
-1.0,10,1,36397,1,100,100.0,0.0
-1.0,10,2,44274,2,99,99.0,0.022222222222222223
-1.0,10,3,18334,3,95,95.0,0.05555555555555555
-1.0,10,4,32446,2,99,99.0,0.022222222222222223
-1.0,10,5,22604,2,99,99.0,0.016666666666666666
-1.0,10,6,33624,3,97,97.0,0.06111111111111111
-1.0,10,7,27092,4,93,93.0,0.07222222222222222
-1.0,10,8,16898,1,100,100.0,0.0
-1.0,10,9,13996,3,93,93.0,0.06666666666666667
-1.0,10,10,37474,2,98,98.0,0.022222222222222223
-1.0,10,11,21165,4,97,97.0,0.05555555555555555
-1.0,10,12,60053,1,100,100.0,0.0
-1.0,10,13,17765,3,97,97.0,0.044444444444444446
-1.0,10,14,42852,2,99,99.0,0.022222222222222223
-1.0,10,15,13377,3,98,98.0,0.03888888888888889
-1.0,10,16,41445,5,94,94.0,0.08888888888888889
-1.0,10,17,24732,2,99,99.0,0.022222222222222223
-1.0,10,18,41113,4,93,93.0,0.07222222222222222
-1.0,10,19,39848,1,100,100.0,0.0
-1.0,10,20,31881,2,99,99.0,0.016666666666666666
-1.0,10,21,36442,3,94,94.0,0.06111111111111111
-1.0,10,22,19775,4,95,95.0,0.08333333333333333
-1.0,10,23,43487,1,100,100.0,0.0
-1.0,10,24,26754,1,100,100.0,0.0
-1.0,10,25,33223,2,97,97.0,0.03888888888888889
-1.0,10,26,34123,3,96,96.0,0.06666666666666667
-1.0,10,27,37007,7,93,93.0,0.10555555555555556
-1.0,10,28,61836,3,94,94.0,0.05555555555555555
-1.0,10,29,35089,3,98,98.0,0.03333333333333333
-1.0,10,30,82372,1,100,100.0,0.0
-1.0,10,31,16226,2,98,98.0,0.027777777777777776
-1.0,10,32,28600,3,97,97.0,0.05
-1.0,10,33,47991,2,99,99.0,0.016666666666666666
-1.0,10,34,12696,3,95,95.0,0.06666666666666667
-1.0,10,35,32707,4,95,95.0,0.06666666666666667
-1.0,10,36,35245,2,99,99.0,0.022222222222222223
-1.0,10,37,35487,3,94,94.0,0.044444444444444446
-1.0,10,38,26883,3,91,91.0,0.07777777777777778
-1.0,10,39,46097,2,99,99.0,0.022222222222222223
-1.0,10,40,60961,3,98,98.0,0.027777777777777776
-1.0,10,41,46817,2,97,97.0,0.027777777777777776
-1.0,10,42,24291,3,98,98.0,0.03333333333333333
-1.0,10,43,32891,3,98,98.0,0.03333333333333333
-1.0,10,44,47024,2,99,99.0,0.016666666666666666
-1.0,10,45,61108,4,95,95.0,0.07777777777777778
-1.0,10,46,20329,2,96,96.0,0.05555555555555555
-1.0,10,47,47934,3,98,98.0,0.03333333333333333
-1.0,10,48,21972,1,100,100.0,0.0
-1.0,10,49,41434,2,99,99.0,0.022222222222222223
-0.75,10,0,37763,2,98,98.0,0.022222222222222223
-0.75,10,1,30787,3,98,98.0,0.03333333333333333
-0.75,10,2,15845,3,98,98.0,0.027777777777777776
-0.75,10,3,16894,2,99,99.0,0.022222222222222223
-0.75,10,4,23829,1,100,100.0,0.0
-0.75,10,5,48440,1,100,100.0,0.0
-0.75,10,6,16284,1,100,100.0,0.0
-0.75,10,7,32440,2,99,99.0,0.022222222222222223
-0.75,10,8,45612,4,92,92.0,0.09444444444444444
-0.75,10,9,22987,4,97,97.0,0.05
-0.75,10,10,31040,2,99,99.0,0.016666666666666666
-0.75,10,11,8878,2,96,96.0,0.03333333333333333
-0.75,10,12,67401,4,84,84.0,0.08888888888888889
-0.75,10,13,39236,3,98,98.0,0.03333333333333333
-0.75,10,14,39444,2,99,99.0,0.022222222222222223
-0.75,10,15,25791,4,95,95.0,0.06666666666666667
-0.75,10,16,52208,3,93,93.0,0.1
-0.75,10,17,26986,2,99,99.0,0.022222222222222223
-0.75,10,18,38521,7,77,77.0,0.2222222222222222
-0.75,10,19,27437,1,100,100.0,0.0
-0.75,10,20,29580,1,100,100.0,0.0
-0.75,10,21,28361,2,99,99.0,0.016666666666666666
-0.75,10,22,70137,3,95,95.0,0.05555555555555555
-0.75,10,23,48120,3,97,97.0,0.044444444444444446
-0.75,10,24,27114,1,100,100.0,0.0
-0.75,10,25,53450,3,98,98.0,0.027777777777777776
-0.75,10,26,23166,2,98,98.0,0.022222222222222223
-0.75,10,27,26320,2,95,95.0,0.07222222222222222
-0.75,10,28,26955,1,100,100.0,0.0
-0.75,10,29,36953,3,98,98.0,0.027777777777777776
-0.75,10,30,29811,2,97,97.0,0.03888888888888889
-0.75,10,31,36471,6,92,92.0,0.12222222222222222
-0.75,10,32,17579,2,99,99.0,0.016666666666666666
-0.75,10,33,41908,1,100,100.0,0.0
-0.75,10,34,22504,4,95,95.0,0.08333333333333333
-0.75,10,35,77099,3,97,97.0,0.044444444444444446
-0.75,10,36,38408,3,95,95.0,0.05555555555555555
-0.75,10,37,33215,4,93,93.0,0.07777777777777778
-0.75,10,38,55569,3,96,96.0,0.05555555555555555
-0.75,10,39,38490,1,100,100.0,0.0
-0.75,10,40,28446,3,90,90.0,0.06666666666666667
