correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
-1.0,10,0,16312,2,99,99.0,0.016666666666666666
-1.0,10,1,52242,1,100,100.0,0.0
-1.0,10,2,29900,1,100,100.0,0.0
-1.0,10,3,46352,1,100,100.0,0.0
-1.0,10,4,70706,1,100,100.0,0.0
-1.0,10,5,59097,1,100,100.0,0.0
-1.0,10,6,30075,2,99,99.0,0.022222222222222223
-1.0,10,7,36553,2,99,99.0,0.016666666666666666
-1.0,10,8,35461,2,99,99.0,0.016666666666666666
-1.0,10,9,51920,1,100,100.0,0.0
-1.0,10,10,57054,1,100,100.0,0.0
-1.0,10,11,21562,1,100,100.0,0.0
-1.0,10,12,33809,1,100,100.0,0.0
-1.0,10,13,9578,1,100,100.0,0.0
-1.0,10,14,27434,1,100,100.0,0.0
-1.0,10,15,25279,1,100,100.0,0.0
-1.0,10,16,47820,2,99,99.0,0.016666666666666666
-1.0,10,17,72091,1,100,100.0,0.0
-1.0,10,18,44145,1,100,100.0,0.0
-1.0,10,19,26577,1,100,100.0,0.0
-1.0,10,20,47177,1,100,100.0,0.0
-1.0,10,21,36339,1,100,100.0,0.0
-1.0,10,22,38124,1,100,100.0,0.0
-1.0,10,23,29466,1,100,100.0,0.0
-1.0,10,24,31263,1,100,100.0,0.0
-1.0,10,25,25858,1,100,100.0,0.0
-1.0,10,26,30869,1,100,100.0,0.0
-1.0,10,27,47558,1,100,100.0,0.0
-1.0,10,28,73145,1,100,100.0,0.0
-1.0,10,29,51199,1,100,100.0,0.0
-1.0,10,30,18916,1,100,100.0,0.0
-1.0,10,31,35824,1,100,100.0,0.0
-1.0,10,32,48770,1,100,100.0,0.0
-1.0,10,33,27939,1,100,100.0,0.0
-1.0,10,34,44839,1,100,100.0,0.0
-1.0,10,35,27256,1,100,100.0,0.0
-1.0,10,36,47641,1,100,100.0,0.0
-1.0,10,37,25560,1,100,100.0,0.0
-1.0,10,38,31939,1,100,100.0,0.0
-1.0,10,39,26240,1,100,100.0,0.0
-1.0,10,40,28066,1,100,100.0,0.0
-1.0,10,41,34060,1,100,100.0,0.0
-1.0,10,42,28980,1,100,100.0,0.0
-1.0,10,43,34538,1,100,100.0,0.0
-1.0,10,44,27312,1,100,100.0,0.0
-1.0,10,45,36890,1,100,100.0,0.0
-1.0,10,46,55271,1,100,100.0,0.0
-1.0,10,47,41756,1,100,100.0,0.0
-1.0,10,48,33343,1,100,100.0,0.0
-1.0,10,49,20224,1,100,100.0,0.0
-1.0,10,50,44114,1,100,100.0,0.0
-1.0,10,51,31559,1,100,100.0,0.0
-1.0,10,52,35110,1,100,100.0,0.0
-1.0,10,53,26516,1,100,100.0,0.0
-1.0,10,54,27207,1,100,100.0,0.0
-1.0,10,55,46356,1,100,100.0,0.0
-1.0,10,56,59298,1,100,100.0,0.0
-1.0,10,57,67375,1,100,100.0,0.0
-1.0,10,58,47693,1,100,100.0,0.0
-1.0,10,59,33936,1,100,100.0,0.0
-1.0,10,60,35013,1,100,100.0,0.0
-1.0,10,61,77168,1,100,100.0,0.0
-1.0,10,62,24654,1,100,100.0,0.0
-1.0,10,63,22604,1,100,100.0,0.0
-1.0,10,64,26557,1,100,100.0,0.0
-1.0,10,65,22544,1,100,100.0,0.0
-1.0,10,66,34994,1,100,100.0,0.0
-1.0,10,67,45288,1,100,100.0,0.0
-1.0,10,68,40592,1,100,100.0,0.0
-1.0,10,69,17023,1,100,100.0,0.0
-1.0,10,70,49629,1,100,100.0,0.0
-1.0,10,71,43965,1,100,100.0,0.0
-1.0,10,72,29716,1,100,100.0,0.0
-1.0,10,73,66596,1,100,100.0,0.0
-1.0,10,74,23444,1,100,100.0,0.0
-1.0,10,75,50961,1,100,100.0,0.0
-1.0,10,76,18641,1,100,100.0,0.0
-1.0,10,77,39364,1,100,100.0,0.0
-1.0,10,78,100969,2,99,99.0,0.022222222222222223
-1.0,10,79,35840,1,100,100.0,0.0
-1.0,10,80,23048,1,100,100.0,0.0
