correlation,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
-1.0,500,20599.672,18877.67329138885,1328,167976,12.834,2.690435652454821,4,20,34.528,13.660644787124802,0.4976333333333333,0.08729270400691863,0.0
-0.9,500,20832.694,16859.44503037879,2340,132679,12.31,2.956670424649998,4,20,37.874,14.719175384511185,0.4665666666666667,0.09200001274825462,0.0
-0.75,500,20646.816,15200.166936916974,3165,109031,12.038,3.0529585650643867,4,22,40.348,15.841934730328868,0.4422,0.09431376318399096,0.0
-0.6,500,22617.074,16619.43623293293,2349,124486,11.834,3.0897320272153053,3,20,44.346,16.82873387988532,0.4176777777777778,0.09515758145645556,0.0
-0.5,500,23328.788,18777.355288300216,2365,203735,11.352,3.311811588843786,3,22,47.752,17.45183359994015,0.39089999999999997,0.09885501229978236,0.0
-0.4,500,23853.52,16921.920195580646,3513,110150,11.188,3.3088753376336197,3,21,50.494,17.464534462733326,0.37973333333333337,0.10059822544639126,0.0
-0.25,500,23584.722,16497.165056236663,1621,140464,11.38,3.231655922278855,4,20,51.068,17.91310626329225,0.3710555555555555,0.10009284270363104,0.0
-0.1,500,27103.948,21926.830866071276,3255,155922,10.876,3.327555258744774,4,23,52.46,18.05703187126832,0.3608444444444444,0.09922565876840873,0.0
0.0,500,25417.884,18976.450834403782,2883,181693,10.944,3.0888289042936647,3,22,53.346,17.479767847428636,0.36,0.09742803612011393,0.0
0.1,500,24985.516,18305.65804503471,3137,172759,11.056,3.124878237627828,4,20,53.132,17.8148975860093,0.35956666666666665,0.09749718514455231,0.0
0.25,500,24387.28,18241.488541059363,2038,162520,11.008,3.231707907593135,3,23,50.996,17.70175087385426,0.3714111111111111,0.09939084278558881,0.0
0.4,500,26587.548,20313.171609172605,1654,129411,10.818,3.161151056181909,4,22,52.126,17.88636698717769,0.3717111111111111,0.09821297342076629,0.0
0.5,500,24859.372,16952.685543052343,3106,129878,10.988,3.2136981812236196,3,22,50.706,17.461602561048057,0.3852555555555556,0.1004388954956946,0.0
0.6,500,24606.704,19406.342201362524,3581,143231,11.008,3.0841426685547475,4,21,48.79,17.14018377964484,0.39678888888888886,0.09870831140659199,0.0
0.75,500,24606.596,22601.92556612786,2359,215948,11.598,3.0633961545970507,4,22,44.148,16.786962083712467,0.42748888888888886,0.09821513549095258,0.0
0.9,500,23300.38,20347.8274311436,2748,180493,11.328,2.894894816742052,4,18,42.56,16.566303148258516,0.447,0.09608066312823041,0.0
1.0,500,22271.006,21365.79421444389,2802,232934,11.226,2.7933714396764353,5,19,40.93,14.971876969839151,0.45938888888888885,0.08734738012565009,0.0
