F,q,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
2,2,100,14802.29,11458.867281974253,2036,63082,1.7,0.45825756949558394,1,2,78.76,18.33091377973286,0.10033333333333332,0.08698240207998936,0.3
2,3,100,19816.19,13379.755998294588,1942,68541,3.62,1.2631706139710503,1,8,60.03,16.686194892784872,0.21838888888888885,0.08457115858374846,0.01
2,4,100,26450.58,21680.450595031463,2931,145374,7.38,2.292509541964875,2,14,50.62,13.192255303775774,0.3306111111111111,0.08587420817468788,0.0
2,5,100,19425.7,16527.684329935637,1841,93424,14.04,3.215338240372232,7,22,35.74,14.061024144776937,0.47077777777777774,0.07635855963564026,0.0
2,6,100,14835.93,12821.66008538286,1486,66967,21.93,3.7155214977173796,15,30,23.96,9.836584773182206,0.5877222222222223,0.06963438468791261,0.0
2,7,100,10533.51,11754.290103187857,1169,71741,29.27,4.100865762250698,16,36,18.81,9.789479046404871,0.6621111111111111,0.06910083882215849,0.0
2,8,100,8090.48,6753.627448238466,953,33462,35.19,3.8773573474726315,24,44,14.89,6.363796036957815,0.7068333333333335,0.0549065142641743,0.0
2,9,100,5480.48,4196.45297002123,679,27338,41.33,4.363610890077163,31,53,11.92,4.515927368769343,0.7470555555555556,0.04717615399937599,0.0
2,10,100,5117.63,6040.823252926707,482,53825,46.09,4.3315008946091655,32,55,10.59,4.923606401815645,0.7739444444444445,0.04780809761463913,0.0
2,11,100,4029.97,4187.399934219325,697,34632,50.75,4.345975149491768,40,60,8.78,2.7297618943783357,0.799777777777778,0.03544183201797169,0.0
2,12,100,3001.11,2381.081955309392,547,12925,54.73,4.054269354643324,44,66,7.78,3.2018119869848696,0.8206666666666668,0.03288663655951351,0.0
2,13,100,2913.95,2129.361737117486,495,14203,57.97,4.450741511254051,49,69,7.59,2.4376012799471534,0.8293333333333334,0.03501393020844669,0.0
2,14,100,1971.95,1315.169436802726,521,10168,62.17,5.091276853599695,52,75,6.33,1.709122581911549,0.8514444444444444,0.03167758096513162,0.0
2,15,100,2187.34,2267.9017360547173,496,19963,63.61,4.965672159939679,51,74,6.31,2.1526495302301303,0.8586111111111111,0.02800325157486952,0.0
2,16,100,1899.71,1596.364859892625,539,11159,65.69,4.487081456804635,54,76,5.83,1.8113806888669208,0.8647222222222223,0.024973751652583923,0.0
2,17,100,1965.3,2172.304640238104,472,17364,68.98,4.949707062039127,56,82,5.59,2.0400735280866713,0.877166666666667,0.027181318475638268,0.0
2,18,100,1704.34,1223.8607373390162,327,7630,70.6,3.911521443121589,62,81,5.16,1.419295599936814,0.8791111111111111,0.027035870091508766,0.0
2,19,100,1587.56,1141.3874479772414,411,7608,72.3,4.112177038990418,63,82,5.08,1.4810806865258896,0.8872222222222222,0.02713136766016618,0.0
