F,q,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
2,2,10,0,28830,1,100,100.0,0.0
2,2,10,1,11517,2,93,93.0,0.03333333333333333
2,2,10,2,13803,2,65,65.0,0.08888888888888889
2,2,10,3,4225,2,87,87.0,0.12222222222222222
2,2,10,4,6961,2,63,63.0,0.1388888888888889
2,2,10,5,3109,2,56,56.00000000000001,0.20555555555555555
2,2,10,6,13954,2,91,91.0,0.07222222222222222
2,2,10,7,10216,2,62,62.0,0.12777777777777777
2,2,10,8,63082,1,100,100.0,0.0
2,2,10,9,6868,2,86,86.0,0.09444444444444444
2,2,10,10,7589,2,59,59.0,0.15
2,2,10,11,20576,2,74,74.0,0.14444444444444443
2,2,10,12,10769,2,80,80.0,0.1
2,2,10,13,7171,2,61,61.0,0.10555555555555556
2,2,10,14,6679,2,89,89.0,0.08333333333333333
2,2,10,15,4886,2,51,51.0,0.11666666666666667
2,2,10,16,11047,1,100,100.0,0.0
2,2,10,17,17194,2,62,62.0,0.2388888888888889
2,2,10,18,4786,2,75,75.0,0.12222222222222222
2,2,10,19,6284,2,80,80.0,0.12222222222222222
2,2,10,20,17362,1,100,100.0,0.0
2,2,10,21,10128,2,56,56.00000000000001,0.08888888888888889
2,2,10,22,7452,2,69,69.0,0.12222222222222222
2,2,10,23,6672,2,69,69.0,0.17222222222222222
2,2,10,24,21233,1,100,100.0,0.0
2,2,10,25,3659,2,54,54.0,0.2222222222222222
2,2,10,26,9304,2,54,54.0,0.17777777777777778
2,2,10,27,15809,2,83,83.0,0.08333333333333333
2,2,10,28,12764,2,68,68.0,0.14444444444444443
2,2,10,29,16077,2,86,86.0,0.1388888888888889
2,2,10,30,7168,2,67,67.0,0.13333333333333333
2,2,10,31,20784,2,97,97.0,0.022222222222222223
2,2,10,32,11101,1,100,100.0,0.0
2,2,10,33,34369,1,100,100.0,0.0
2,2,10,34,11570,2,96,96.0,0.06666666666666667
2,2,10,35,26062,1,100,100.0,0.0
2,2,10,36,16150,2,68,68.0,0.18333333333333332
2,2,10,37,5405,2,51,51.0,0.20555555555555555
2,2,10,38,5063,2,82,82.0,0.09444444444444444
2,2,10,39,4191,2,75,75.0,0.10555555555555556
2,2,10,40,7468,2,75,75.0,0.08888888888888889
2,2,10,41,28414,1,100,100.0,0.0
2,2,10,42,25194,1,100,100.0,0.0
2,2,10,43,19488,1,100,100.0,0.0
2,2,10,44,13334,1,100,100.0,0.0
2,2,10,45,13646,1,100,100.0,0.0
2,2,10,46,7910,2,93,93.0,0.08888888888888889
2,2,10,47,9373,2,67,67.0,0.2111111111111111
2,2,10,48,6213,2,55,55.00000000000001,0.25
2,2,10,49,33631,1,100,100.0,0.0
2,2,10,50,7912,2,80,80.0,0.12777777777777777
2,2,10,51,2036,2,57,56.99999999999999,0.2833333333333333
2,2,10,52,14179,2,73,73.0,0.15
2,2,10,53,30198,1,100,100.0,0.0
2,2,10,54,11356,1,100,100.0,0.0
2,2,10,55,14387,2,53,53.0,0.15
2,2,10,56,9537,2,52,52.0,0.25555555555555554
2,2,10,57,11648,2,99,99.0,0.022222222222222223
2,2,10,58,4319,2,60,60.0,0.2777777777777778
2,2,10,59,12682,2,57,56.99999999999999,0.16666666666666666
2,2,10,60,10722,2,80,80.0,0.09444444444444444
2,2,10,61,11272,1,100,100.0,0.0
2,2,10,62,10943,2,98,98.0,0.022222222222222223
2,2,10,63,7487,2,78,78.0,0.1
2,2,10,64,54017,1,100,100.0,0.0
2,2,10,65,40850,1,100,100.0,0.0
2,2,10,66,12925,1,100,100.0,0.0
2,2,10,67,7261,1,100,100.0,0.0
2,2,10,68,5376,2,50,50.0,0.2388888888888889
2,2,10,69,20710,1,100,100.0,0.0
2,2,10,70,9517,2,59,59.0,0.16111111111111112
2,2,10,71,21051,2,58,57.99999999999999,0.1
2,2,10,72,8928,2,53,53.0,0.2222222222222222
2,2,10,73,8951,2,65,65.0,0.18888888888888888
2,2,10,74,11024,2,59,59.0,0.09444444444444444
2,2,10,75,47905,1,100,100.0,0.0
2,2,10,76,13357,2,81,81.0,0.06111111111111111
2,2,10,77,22288,1,100,100.0,0.0
2,2,10,78,6759,2,94,94.0,0.027777777777777776
2,2,10,79,22740,2,91,91.0,0.05
2,2,10,80,8118,2,57,56.99999999999999,0.2722222222222222
2,2,10,81,34487,1,100,100.0,0.0
2,2,10,82,12183,2,50,50.0,0.18888888888888888
2,2,10,83,55185,1,100,100.0,0.0
2,2,10,84,13504,2,68,68.0,0.10555555555555556
2,2,10,85,10923,2,74,74.0,0.11666666666666667
2,2,10,86,3429,2,63,63.0,0.25
2,2,10,87,28191,1,100,100.0,0.0
2,2,10,88,14842,1,100,100.0,0.0
2,2,10,89,22361,1,100,100.0,0.0
2,2,10,90,17915,2,51,51.0,0.12222222222222222
2,2,10,91,26416,2,89,89.0,0.07777777777777778
2,2,10,92,9825,2,61,61.0,0.12777777777777777
2,2,10,93,2135,2,70,70.0,0.2722222222222222
2,2,10,94,6910,2,67,67.0,0.20555555555555555
2,2,10,95,8169,2,54,54.0,0.16111111111111112
2,2,10,96,5521,2,57,56.99999999999999,0.23333333333333334
2,2,10,97,15681,1,100,100.0,0.0
2,2,10,98,12621,2,64,64.0,0.2222222222222222
2,2,10,99,12936,2,55,55.00000000000001,0.21666666666666667
2,3,10,0,6197,5,37,37.0,0.3111111111111111
2,3,10,1,10735,6,45,45.0,0.3
2,3,10,2,20126,2,94,94.0,0.027777777777777776
2,3,10,3,8863,4,47,47.0,0.3277777777777778
2,3,10,4,8346,4,54,54.0,0.14444444444444443
2,3,10,5,6304,3,50,50.0,0.22777777777777777
2,3,10,6,25388,4,49,49.0,0.24444444444444444
2,3,10,7,39985,2,66,66.0,0.11666666666666667
2,3,10,8,68541,3,65,65.0,0.26666666666666666
2,3,10,9,9869,2,98,98.0,0.027777777777777776
2,3,10,10,16159,3,56,56.00000000000001,0.22777777777777777
2,3,10,11,22563,1,100,100.0,0.0
2,3,10,12,7730,3,46,46.0,0.25555555555555554
2,3,10,13,41150,3,93,93.0,0.1
2,3,10,14,6215,4,40,40.0,0.2388888888888889
2,3,10,15,24737,3,42,42.0,0.2
2,3,10,16,33773,3,73,73.0,0.15555555555555556
2,3,10,17,15864,4,66,66.0,0.25
2,3,10,18,17765,6,39,39.0,0.35
2,3,10,19,17105,3,90,90.0,0.09444444444444444
2,3,10,20,17614,3,87,87.0,0.1111111111111111
2,3,10,21,6153,3,61,61.0,0.21666666666666667
2,3,10,22,49662,4,61,61.0,0.19444444444444445
2,3,10,23,23736,3,92,92.0,0.05
2,3,10,24,13018,4,64,64.0,0.18333333333333332
2,3,10,25,13446,4,49,49.0,0.2777777777777778
2,3,10,26,12603,6,32,32.0,0.35
2,3,10,27,6580,3,72,72.0,0.17222222222222222
2,3,10,28,12048,4,60,60.0,0.2222222222222222
2,3,10,29,6288,5,45,45.0,0.3
2,3,10,30,28396,5,46,46.0,0.28888888888888886
2,3,10,31,23661,3,54,54.0,0.2777777777777778
2,3,10,32,1942,6,49,49.0,0.35555555555555557
2,3,10,33,30559,4,53,53.0,0.2833333333333333
2,3,10,34,5691,4,63,63.0,0.2777777777777778
2,3,10,35,5515,4,67,67.0,0.26666666666666666
2,3,10,36,22193,3,63,63.0,0.15555555555555556
2,3,10,37,21816,3,63,63.0,0.22777777777777777
2,3,10,38,23073,2,55,55.00000000000001,0.22777777777777777
2,3,10,39,4756,4,61,61.0,0.20555555555555555
2,3,10,40,33742,3,50,50.0,0.2722222222222222
2,3,10,41,27926,4,60,60.0,0.2111111111111111
