ordered_features,unordered_features,ordered_ratio,total_features,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
5,0,100.0,5,10,0,80186,1,100,100.0,0.0
5,0,100.0,5,10,1,44985,2,99,99.0,0.011111111111111112
5,0,100.0,5,10,2,43809,3,98,98.0,0.03888888888888889
5,0,100.0,5,10,3,61554,1,100,100.0,0.0
5,0,100.0,5,10,4,49335,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,5,52053,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,6,69118,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,7,37867,3,97,97.0,0.03888888888888889
5,0,100.0,5,10,8,79834,1,100,100.0,0.0
5,0,100.0,5,10,9,59045,3,98,98.0,0.03888888888888889
5,0,100.0,5,10,10,68214,1,100,100.0,0.0
5,0,100.0,5,10,11,77246,3,97,97.0,0.044444444444444446
5,0,100.0,5,10,12,54957,3,98,98.0,0.027777777777777776
5,0,100.0,5,10,13,141106,1,100,100.0,0.0
5,0,100.0,5,10,14,63607,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,15,69478,1,100,100.0,0.0
5,0,100.0,5,10,16,51461,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,17,53275,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,18,90339,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,19,56538,2,97,97.0,0.022222222222222223
5,0,100.0,5,10,20,72411,1,100,100.0,0.0
5,0,100.0,5,10,21,72696,1,100,100.0,0.0
5,0,100.0,5,10,22,72980,1,100,100.0,0.0
5,0,100.0,5,10,23,83255,1,100,100.0,0.0
5,0,100.0,5,10,24,53192,1,100,100.0,0.0
5,0,100.0,5,10,25,48443,1,100,100.0,0.0
5,0,100.0,5,10,26,60705,1,100,100.0,0.0
5,0,100.0,5,10,27,80832,1,100,100.0,0.0
5,0,100.0,5,10,28,47281,1,100,100.0,0.0
5,0,100.0,5,10,29,91204,1,100,100.0,0.0
5,0,100.0,5,10,30,94611,1,100,100.0,0.0
5,0,100.0,5,10,31,55864,2,98,98.0,0.03333333333333333
5,0,100.0,5,10,32,32528,1,100,100.0,0.0
5,0,100.0,5,10,33,139162,1,100,100.0,0.0
5,0,100.0,5,10,34,49299,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,35,50281,3,98,98.0,0.027777777777777776
5,0,100.0,5,10,36,92611,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,37,41464,1,100,100.0,0.0
5,0,100.0,5,10,38,82560,1,100,100.0,0.0
5,0,100.0,5,10,39,81160,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,40,99295,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,41,60622,1,100,100.0,0.0
5,0,100.0,5,10,42,107705,2,99,99.0,0.011111111111111112
5,0,100.0,5,10,43,79960,1,100,100.0,0.0
5,0,100.0,5,10,44,74426,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,45,61447,1,100,100.0,0.0
5,0,100.0,5,10,46,76620,3,98,98.0,0.03333333333333333
5,0,100.0,5,10,47,61696,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,48,49679,1,100,100.0,0.0
5,0,100.0,5,10,49,69945,1,100,100.0,0.0
5,0,100.0,5,10,50,74663,1,100,100.0,0.0
5,0,100.0,5,10,51,78473,1,100,100.0,0.0
5,0,100.0,5,10,52,85134,2,99,99.0,0.011111111111111112
5,0,100.0,5,10,53,58305,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,54,104091,1,100,100.0,0.0
5,0,100.0,5,10,55,107027,1,100,100.0,0.0
5,0,100.0,5,10,56,77230,3,98,98.0,0.027777777777777776
5,0,100.0,5,10,57,71760,1,100,100.0,0.0
5,0,100.0,5,10,58,94406,2,99,99.0,0.011111111111111112
5,0,100.0,5,10,59,87691,1,100,100.0,0.0
5,0,100.0,5,10,60,61917,1,100,100.0,0.0
5,0,100.0,5,10,61,60814,1,100,100.0,0.0
5,0,100.0,5,10,62,100762,1,100,100.0,0.0
5,0,100.0,5,10,63,52115,1,100,100.0,0.0
5,0,100.0,5,10,64,71524,1,100,100.0,0.0
5,0,100.0,5,10,65,46287,2,98,98.0,0.016666666666666666
5,0,100.0,5,10,66,88724,1,100,100.0,0.0
5,0,100.0,5,10,67,83473,5,96,96.0,0.08888888888888889
5,0,100.0,5,10,68,46640,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,69,38893,2,98,98.0,0.022222222222222223
5,0,100.0,5,10,70,77865,1,100,100.0,0.0
5,0,100.0,5,10,71,105389,1,100,100.0,0.0
5,0,100.0,5,10,72,111190,1,100,100.0,0.0
5,0,100.0,5,10,73,54254,3,98,98.0,0.03333333333333333
5,0,100.0,5,10,74,74727,1,100,100.0,0.0
5,0,100.0,5,10,75,47458,4,96,96.0,0.05
5,0,100.0,5,10,76,122362,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,77,41575,1,100,100.0,0.0
5,0,100.0,5,10,78,38830,3,98,98.0,0.03333333333333333
5,0,100.0,5,10,79,79074,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,80,33495,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,81,53770,1,100,100.0,0.0
5,0,100.0,5,10,82,64905,1,100,100.0,0.0
5,0,100.0,5,10,83,78957,1,100,100.0,0.0
5,0,100.0,5,10,84,83707,4,96,96.0,0.05555555555555555
5,0,100.0,5,10,85,68377,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,86,88980,1,100,100.0,0.0
5,0,100.0,5,10,87,66662,3,98,98.0,0.03888888888888889
5,0,100.0,5,10,88,89309,2,98,98.0,0.03333333333333333
5,0,100.0,5,10,89,53579,1,100,100.0,0.0
5,0,100.0,5,10,90,53319,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,91,50138,1,100,100.0,0.0
5,0,100.0,5,10,92,48509,5,95,95.0,0.07222222222222222
5,0,100.0,5,10,93,77672,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,94,53097,1,100,100.0,0.0
5,0,100.0,5,10,95,34342,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,96,88941,1,100,100.0,0.0
5,0,100.0,5,10,97,104883,3,97,97.0,0.05
5,0,100.0,5,10,98,53591,1,100,100.0,0.0
5,0,100.0,5,10,99,52481,4,93,93.0,0.05555555555555555
5,0,100.0,5,10,100,57520,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,101,72535,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,102,103675,2,99,99.0,0.011111111111111112
5,0,100.0,5,10,103,80744,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,104,59740,1,100,100.0,0.0
5,0,100.0,5,10,105,57133,1,100,100.0,0.0
5,0,100.0,5,10,106,63727,1,100,100.0,0.0
5,0,100.0,5,10,107,66882,2,99,99.0,0.011111111111111112
5,0,100.0,5,10,108,50830,5,95,95.0,0.08333333333333333
5,0,100.0,5,10,109,60935,1,100,100.0,0.0
5,0,100.0,5,10,110,43727,1,100,100.0,0.0
5,0,100.0,5,10,111,80953,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,112,86879,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,113,71617,3,98,98.0,0.03333333333333333
5,0,100.0,5,10,114,48874,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,115,105164,1,100,100.0,0.0
5,0,100.0,5,10,116,55797,1,100,100.0,0.0
5,0,100.0,5,10,117,78182,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,118,87131,3,97,97.0,0.044444444444444446
5,0,100.0,5,10,119,95300,1,100,100.0,0.0
5,0,100.0,5,10,120,81351,1,100,100.0,0.0
5,0,100.0,5,10,121,80622,2,99,99.0,0.016666666666666666
5,0,100.0,5,10,122,50390,3,98,98.0,0.03333333333333333
5,0,100.0,5,10,123,60756,2,99,99.0,0.022222222222222223
5,0,100.0,5,10,124,56035,1,100,100.0,0.0
5,0,100.0,5,10,125,101677,1,100,100.0,0.0
5,0,100.0,5,10,126,60579,3,98,98.0,0.03888888888888889
5,0,100.0,5,10,127,53154,1,100,100.0,0.0
5,0,100.0,5,10,128,40221,2,98,98.0,0.022222222222222223
5,0,100.0,5,10,129,97116,3,98,98.0,0.027777777777777776
5,0,100.0,5,10,130,49159,3,98,98.0,0.03888888888888889
