grid_size,F,q,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
5,5,15,0,1731,13,7,28.000000000000004,0.7
5,5,15,1,1925,10,9,36.0,0.525
5,5,15,2,2815,3,22,88.0,0.15
5,5,15,3,377,13,5,20.0,0.7
5,5,15,4,839,15,5,20.0,0.75
5,5,15,5,1528,7,8,32.0,0.475
5,5,15,6,2929,4,22,88.0,0.15
5,5,15,7,2986,10,11,44.0,0.6
5,5,15,8,1296,10,8,32.0,0.575
5,5,15,9,1457,8,7,28.000000000000004,0.475
5,5,15,10,5204,6,15,60.0,0.425
5,5,15,11,2355,9,9,36.0,0.55
5,5,15,12,2627,9,15,60.0,0.5
5,5,15,13,1498,11,6,24.0,0.65
5,5,15,14,1390,7,9,36.0,0.45
5,5,15,15,1174,11,5,20.0,0.625
5,5,15,16,2626,11,12,48.0,0.525
5,5,15,17,3783,4,20,80.0,0.225
5,5,15,18,3162,6,15,60.0,0.35
5,5,15,19,1627,11,8,32.0,0.625
5,5,15,20,1848,10,14,56.00000000000001,0.5
5,5,15,21,1520,8,13,52.0,0.475
5,5,15,22,3517,6,16,64.0,0.35
5,5,15,23,2444,10,8,32.0,0.6
5,5,15,24,2293,7,13,52.0,0.4
5,5,15,25,3878,5,15,60.0,0.35
5,5,15,26,1549,7,8,32.0,0.525
5,5,15,27,3675,8,15,60.0,0.525
5,5,15,28,1827,11,8,32.0,0.6
5,5,15,29,2396,7,15,60.0,0.425
5,5,15,30,2117,4,21,84.0,0.2
5,5,15,31,2994,4,21,84.0,0.25
5,5,15,32,3836,4,21,84.0,0.2
5,5,15,33,5943,2,24,96.0,0.1
5,5,15,34,595,16,5,20.0,0.75
5,5,15,35,3331,9,11,44.0,0.525
5,5,15,36,1727,9,9,36.0,0.525
5,5,15,37,3035,5,21,84.0,0.3
5,5,15,38,818,15,8,32.0,0.7
5,5,15,39,1666,8,11,44.0,0.475
5,5,15,40,1172,8,8,32.0,0.525
5,5,15,41,2422,9,9,36.0,0.6
5,5,15,42,1316,14,11,44.0,0.65
5,5,15,43,1142,9,7,28.000000000000004,0.525
5,5,15,44,2078,5,14,56.00000000000001,0.375
5,5,15,45,1497,10,8,32.0,0.6
5,5,15,46,1402,16,4,16.0,0.75
5,5,15,47,568,12,4,16.0,0.675
5,5,15,48,5264,5,19,76.0,0.4
5,5,15,49,3061,2,23,92.0,0.1
5,5,15,50,946,15,7,28.000000000000004,0.725
5,5,15,51,393,12,6,24.0,0.625
5,5,15,52,826,10,6,24.0,0.6
5,5,15,53,2115,5,20,80.0,0.325
5,5,15,54,453,17,5,20.0,0.775
5,5,15,55,2764,7,15,60.0,0.425
5,5,15,56,2498,9,14,56.00000000000001,0.575
5,5,15,57,4710,3,23,92.0,0.15
5,5,15,58,1169,15,10,40.0,0.675
5,5,15,59,1206,10,7,28.000000000000004,0.525
5,5,15,60,2648,7,14,56.00000000000001,0.525
5,5,15,61,2052,5,13,52.0,0.325
5,5,15,62,701,16,5,20.0,0.75
5,5,15,63,1845,9,12,48.0,0.5
