correlation,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
-1.0,500,33645.992,16615.560240447387,7390,113608,2.718,1.3793027223927312,1,8,96.614,3.7874799009367695,0.04112222222222222,0.034861452410901224,0.204
-0.9,500,33200.876,15183.844859607332,7526,91101,2.694,1.374177572222746,1,9,96.542,4.114393758501974,0.040433333333333335,0.03572559859626887,0.206
-0.75,500,32900.946,15202.032509868013,6701,96484,2.668,1.414841333860444,1,9,96.7,4.643059336256646,0.03882222222222222,0.03535178414133166,0.206
-0.6,500,32985.274,15629.832315380867,6667,92448,2.78,1.3768079023596576,1,7,96.55,4.0967670180277524,0.04247777777777778,0.03618056739176603,0.186
-0.5,500,34506.344,16688.319403992242,7728,114106,2.834,1.3734787948854543,1,8,96.516,3.6994248201578577,0.04318888888888888,0.034002053314904815,0.166
-0.4,500,34036.68,16522.641728658287,7550,118423,2.92,1.389100428334827,1,9,96.5,3.9397969490825284,0.044700000000000004,0.035754600843548534,0.128
-0.25,500,32465.966,16065.014065877564,8676,134526,2.834,1.3807403810999372,1,8,96.494,4.229652940845147,0.04275555555555556,0.033827624039357955,0.166
-0.1,500,32474.07,16249.399827965955,8006,124453,2.858,1.3863029971835164,1,9,96.596,4.263893056820258,0.042866666666666664,0.034772338942837246,0.17
0.0,500,32585.588,14669.500692874859,5918,90304,2.89,1.4205280708243677,1,9,96.602,4.233626813974042,0.04299999999999999,0.034451791331161954,0.166
0.1,500,33340.77,15243.632862054243,7371,94002,2.9,1.4007141035914503,1,9,96.936,3.0219040355378595,0.04328888888888889,0.033670854158353136,0.134
0.25,500,33281.144,16175.390671488092,6670,114013,3.074,1.4506977631471003,1,9,96.38,3.9232129689834583,0.04758888888888889,0.03558403546882946,0.128
0.4,500,33746.76,15442.47326131407,6497,111157,3.006,1.380566550369811,1,7,96.32,4.431884475028653,0.04738888888888889,0.036155144093813874,0.136
0.5,500,33266.938,15891.58772779347,5617,113237,3.176,1.468681040934348,1,10,95.972,4.327957485927975,0.0528,0.0385965136274966,0.102
0.6,500,33490.5,16973.341447281382,5870,123402,3.228,1.4859394334898044,1,9,95.478,4.344366006680376,0.055888888888888884,0.0394844867176721,0.114
0.75,500,33701.154,16811.40648745024,8083,171886,3.316,1.506035856146858,1,11,94.968,5.582739112657872,0.06226666666666665,0.04467742269609374,0.076
0.9,500,34935.66,16263.31704986409,6867,99153,3.546,1.5335853416096543,1,10,93.738,6.998382384522869,0.07286666666666668,0.05035017623517896,0.056
1.0,500,34833.942,16320.301217766662,5964,107850,3.766,1.7717911840846257,1,10,92.256,8.101263111391951,0.08616666666666667,0.06061971626459497,0.06
